조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,주소대분류,프로모션여부,연령대,R,F,M,R_score,M_score,F_score,RFM_score,RFM_rank,주매장,이탈여부,최소재구매주기,재구매여부,5개월이내재구매
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,4,4,39915,5,1,2,2.6,포미프렌즈,매장B,정상,41,0,0
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,6,16,293288,5,2,2,2.9,포미프렌즈,매장B,정상,6,1,1
정상회원,여,43,미신청,수신,normal,용인 수지구,0,40대,9,3,14166,5,1,2,2.6,포미프렌즈,매장D,정상,40,0,0
정상회원,여,55,미신청,미수신,normal,용인 수지구,0,50대,58,6,189622,3,1,2,2,포미초대손님,매장D,정상,2,1,1
정상회원,여,55,미신청,미수신,normal,기타,0,50대,236,1,14932,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,38,4,163873,4,1,2,2.3,포미초대손님,매장B,정상,59,0,0
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,91,4,107684,3,1,2,2,포미초대손님,매장A,정상,9,1,1
정상회원,여,39,미신청,수신,normal,용인 수지구,0,30대,2,72,1248813,5,4,5,4.7,포미킹,매장C,정상,1,1,1
정상회원,남,56,신청,미수신,normal,용인 수지구,0,50대,3,27,526102,5,2,3,3.3,포미프렌즈,매장C,정상,3,1,1
정상회원,여,48,미신청,미수신,normal,성남 분당구,0,40대,296,1,35991,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,262,1,105293,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,101,2,14550,3,1,2,2,포미초대손님,매장C,정상,91,0,0
정상회원,여,45,미신청,수신,normal,용인 수지구,0,40대,10,2,12156,5,1,2,2.6,포미프렌즈,매장B,정상,80,0,0
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,249,1,12635,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,45,미신청,미수신,normal,서울 송파구,0,40대,195,1,26419,2,1,1,1.3,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,52,미신청,미수신,normal,수원 영통구,0,50대,291,1,4977,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,9,46,705269,5,3,4,4,포미패밀리,매장B,정상,1,1,1
정상회원,여,64,미신청,미수신,normal,용인 기흥구,0,60대,4,18,267445,5,1,3,3,포미프렌즈,매장C,정상,2,1,1
정상회원,여,61,미신청,미수신,normal,용인 수지구,0,60대,44,17,169423,4,1,3,2.7,포미프렌즈,매장D,정상,1,1,1
정상회원,여,75,미신청,미수신,normal,기타,0,70대,13,14,230784,5,1,2,2.6,포미초대손님,매장A,정상,2,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,45,16,272709,4,1,2,2.3,포미초대손님,매장A,정상,2,1,1
정상회원,남,91,미신청,미수신,normal,기타,0,90대이상,209,1,33311,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,59,미신청,미수신,normal,용인 수지구,0,50대,22,27,368044,4,2,3,3,포미프렌즈,매장D,정상,1,1,1
정상회원,여,77,미신청,미수신,normal,용인 수지구,0,70대,113,2,66143,2,1,2,1.7,포미방문자,매장C,정상,82,0,0
정상회원,여,45,신청,미수신,normal,용인 기흥구,0,40대,13,17,705176,5,3,3,3.6,포미패밀리,매장B,정상,2,1,1
정상회원,여,48,미신청,미수신,normal,용인 기흥구,0,40대,15,10,249257,4,1,2,2.3,포미초대손님,매장C,정상,3,1,1
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,6,30,391843,5,2,3,3.3,포미패밀리,매장C,정상,1,1,1
정상회원,여,49,미신청,미수신,normal,성남 분당구,0,40대,50,1,2297,3,1,1,1.6,포미방문자,매장C,정상,0,0,0
정상회원,여,60,미신청,미수신,normal,성남 분당구,0,60대,228,4,50635,1,1,2,1.4,포미방문자,매장B,잠재이탈,17,0,0
정상회원,여,85,미신청,미수신,normal,용인 수지구,0,80대,16,10,298555,4,2,2,2.6,포미프렌즈,매장C,정상,3,1,1
정상회원,여,40,미신청,미수신,normal,기타,0,40대,109,1,29482,3,1,1,1.6,포미방문자,매장C,정상,0,0,0
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,26,8,310232,4,2,2,2.6,포미프렌즈,매장B,정상,4,1,1
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,80,1,5169,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,38,미신청,미수신,normal,용인 기흥구,0,30대,290,1,39054,1,1,1,1,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,54,미신청,미수신,normal,용인 수지구,0,50대,11,9,133053,5,1,2,2.6,포미프렌즈,매장B,정상,6,1,1
정상회원,여,62,미신청,미수신,normal,용인 수지구,0,60대,16,4,42979,4,1,2,2.3,포미초대손님,매장B,정상,12,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,133,3,89213,2,1,2,1.7,포미방문자,매장B,정상,15,0,0
정상회원,여,54,미신청,수신,normal,용인 수지구,0,50대,0,63,1373688,5,4,5,4.7,포미킹,매장C,정상,1,1,1
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,160,1,82894,2,1,1,1.3,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,62,1,13592,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
탈퇴,여,83,신청,미수신,normal,용인 수지구,0,80대,180,21,854309,2,3,3,2.7,포미프렌즈,매장C,이탈,1,1,0
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,16,15,227719,4,1,2,2.3,포미초대손님,매장A,정상,4,1,1
정상회원,여,39,신청,미수신,normal,용인 수지구,0,30대,7,30,678583,5,3,3,3.6,포미패밀리,매장A,정상,2,1,1
정상회원,여,51,미신청,수신,normal,용인 수지구,0,50대,2,50,522251,5,2,4,3.7,포미패밀리,매장D,정상,1,1,1
정상회원,남,50,미신청,미수신,normal,용인 수지구,0,50대,42,9,335790,4,2,2,2.6,포미프렌즈,매장D,정상,5,1,1
정상회원,여,45,미신청,수신,normal,용인 수지구,0,40대,7,40,1043065,5,3,4,4,포미패밀리,매장A,정상,1,1,1
정상회원,여,50,미신청,미수신,normal,용인 수지구,0,50대,4,12,215753,5,1,2,2.6,포미초대손님,매장C,정상,2,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,76,4,38193,3,1,2,2,포미초대손님,매장D,정상,12,1,1
정상회원,여,43,미신청,미수신,normal,광주,0,40대,38,1,4212,4,1,1,1.9,포미방문자,매장D,정상,0,0,0
정상회원,여,53,미신청,미수신,normal,기타,0,50대,193,1,3637,2,1,1,1.3,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,42,미신청,수신,normal,용인 수지구,1,40대,0,72,2988387,5,5,5,5,포미킹,매장A,정상,1,1,1
정상회원,여,43,신청,미수신,normal,용인 수지구,0,40대,18,8,398485,4,2,2,2.6,포미프렌즈,매장B,정상,13,1,1
정상회원,여,48,미신청,미수신,normal,성남 분당구,0,40대,1,4,70833,5,1,2,2.6,포미프렌즈,매장B,정상,1,1,1
정상회원,여,66,미신청,미수신,normal,기타,0,60대,278,1,8423,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,86,1,18378,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,31,신청,미수신,normal,용인 수지구,0,30대,64,17,441272,3,2,3,2.7,포미프렌즈,매장B,정상,2,1,1
정상회원,여,34,미신청,미수신,normal,기타,0,30대,56,6,124533,3,1,2,2,포미초대손님,매장D,정상,6,1,1
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,18,1,19144,4,1,1,1.9,포미방문자,매장C,정상,0,0,0
정상회원,여,66,미신청,미수신,normal,용인 수지구,0,60대,0,1,12444,5,1,1,2.2,포미초대손님,매장C,정상,0,0,0
정상회원,여,58,신청,미수신,normal,용인 수지구,0,50대,0,30,673875,5,3,3,3.6,포미패밀리,매장D,정상,1,1,1
정상회원,여,63,미신청,미수신,normal,용인 수지구,0,60대,200,1,19527,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,39,미신청,미수신,normal,기타,0,30대,246,1,14933,1,1,1,1,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,231,1,9572,1,1,1,1,포미방문자,매장D,잠재이탈,0,0,0
정상회원,남,39,신청,미수신,normal,용인 수지구,1,30대,14,14,358763,5,2,2,2.9,포미프렌즈,매장D,정상,1,1,1
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,3,2,6030,5,1,2,2.6,포미프렌즈,매장C,정상,4,1,1
정상회원,남,38,미신청,미수신,normal,용인 수지구,0,30대,39,17,400478,4,2,3,3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,58,신청,미수신,normal,서울 강남구,0,50대,15,16,544363,4,2,2,2.6,포미프렌즈,매장A,정상,4,1,1
정상회원,여,44,미신청,미수신,normal,수원 장안구,0,40대,176,1,3255,2,1,1,1.3,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,8,14,160907,5,1,2,2.6,포미초대손님,매장D,정상,1,1,1
정상회원,여,51,미신청,수신,normal,용인 수지구,0,50대,2,47,1599769,5,4,4,4.3,포미킹,매장B,정상,1,1,1
정상회원,여,41,신청,미수신,normal,용인 수지구,0,40대,7,35,602910,5,2,3,3.3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,247,2,51900,1,1,2,1.4,포미방문자,매장C,잠재이탈,49,0,0
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,5,2,52263,5,1,2,2.6,포미프렌즈,매장D,정상,2,1,1
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,274,2,39246,1,1,2,1.4,포미방문자,매장B,잠재이탈,18,0,0
정상회원,여,57,미신청,미수신,normal,서울 강남구,0,50대,167,5,77438,2,1,2,1.7,포미방문자,매장C,잠재이탈,14,1,0
정상회원,여,64,미신청,미수신,normal,용인 수지구,0,60대,286,1,3446,1,1,1,1,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,7,56,1269070,5,4,4,4.3,포미킹,매장A,정상,1,1,1
정상회원,여,33,미신청,미수신,normal,용인 수지구,0,30대,2,12,272228,5,1,2,2.6,포미초대손님,매장D,정상,3,1,1
정상회원,여,43,미신청,미수신,normal,기타,0,40대,244,1,5073,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,59,미신청,미수신,normal,기타,0,50대,69,7,122713,3,1,2,2,포미초대손님,매장D,정상,6,1,1
정상회원,여,50,미신청,수신,normal,광주,0,50대,2,8,259688,5,1,2,2.6,포미초대손님,매장A,정상,3,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,200,2,22590,1,1,2,1.4,포미방문자,매장B,잠재이탈,63,0,0
정상회원,여,35,미신청,미수신,normal,기타,0,30대,166,1,48818,2,1,1,1.3,포미방문자,매장D,잠재이탈,0,0,0
정상회원,여,64,미신청,미수신,normal,용인 기흥구,0,60대,273,1,7083,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,10,16,304774,5,2,2,2.9,포미프렌즈,매장B,정상,1,1,1
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,22,5,175744,4,1,2,2.3,포미초대손님,매장B,정상,11,1,1
정상회원,여,34,미신청,미수신,normal,용인 수지구,0,30대,11,10,217094,5,1,2,2.6,포미초대손님,매장A,정상,3,1,1
정상회원,남,32,미신청,미수신,normal,기타,0,30대,123,1,1914,2,1,1,1.3,포미방문자,매장C,정상,0,0,0
정상회원,여,45,미신청,미수신,normal,수원 영통구,0,40대,288,2,54561,1,1,2,1.4,포미방문자,매장B,잠재이탈,7,1,0
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,16,29,664875,4,3,3,3.3,포미프렌즈,매장D,정상,1,1,1
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,13,36,338563,5,2,3,3.3,포미패밀리,매장C,정상,1,1,1
정상회원,여,74,미신청,미수신,normal,용인 수지구,0,70대,7,64,1744079,5,4,5,4.7,포미킹,매장C,정상,1,1,1
정상회원,여,30,미신청,미수신,normal,용인 수지구,0,30대,247,1,14358,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,65,신청,미수신,normal,용인 수지구,0,60대,24,17,939640,4,3,3,3.3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,40,2,43457,4,1,2,2.3,포미초대손님,매장A,정상,86,0,0
정상회원,여,55,미신청,수신,VIP,용인 수지구,0,50대,2,138,3400905,5,5,5,5,포미킹,매장C,정상,1,1,1
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,39,1,4212,4,1,1,1.9,포미방문자,매장B,정상,0,0,0
정상회원,여,43,미신청,미수신,normal,용인 기흥구,0,40대,230,1,4977,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,60,미신청,미수신,normal,서울 송파구,0,60대,22,5,28526,4,1,2,2.3,포미초대손님,매장D,정상,1,1,1
정상회원,여,38,미신청,미수신,normal,용인 수지구,0,30대,40,1,22878,4,1,1,1.9,포미방문자,매장A,정상,0,0,0
정상회원,여,45,미신청,미수신,normal,기타,0,40대,197,1,8615,2,1,1,1.3,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,53,미신청,미수신,normal,기타,0,50대,38,8,176698,4,1,2,2.3,포미초대손님,매장A,정상,14,1,1
정상회원,여,53,신청,미수신,normal,용인 수지구,0,50대,13,26,621920,5,3,3,3.6,포미패밀리,매장A,정상,2,1,1
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,8,30,775435,5,3,3,3.6,포미패밀리,매장D,정상,1,1,1
정상회원,여,32,미신청,미수신,normal,기타,0,30대,28,12,167418,4,1,2,2.3,포미초대손님,매장A,정상,5,1,1
정상회원,여,53,신청,미수신,normal,용인 수지구,0,50대,1,10,338813,5,2,2,2.9,포미프렌즈,매장A,정상,2,1,1
정상회원,여,50,신청,미수신,normal,용인 수지구,0,50대,16,28,433387,4,2,3,3,포미프렌즈,매장D,정상,2,1,1
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,25,14,140478,4,1,2,2.3,포미초대손님,매장A,정상,5,1,1
정상회원,여,51,미신청,미수신,normal,기타,0,50대,249,10,300657,1,2,2,1.7,포미방문자,매장A,잠재이탈,3,1,0
정상회원,여,31,미신청,미수신,normal,용인 수지구,0,30대,4,44,577097,5,2,4,3.7,포미패밀리,매장B,정상,1,1,1
정상회원,여,38,미신청,미수신,normal,기타,0,30대,61,1,8041,3,1,1,1.6,포미방문자,매장D,정상,0,0,0
정상회원,남,55,미신청,미수신,normal,용인 수지구,0,50대,109,10,109313,3,1,2,2,포미초대손님,매장C,정상,1,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,51,4,119843,3,1,2,2,포미초대손님,매장B,정상,3,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,4,19,385274,5,2,3,3.3,포미패밀리,매장B,정상,3,1,1
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,15,16,239600,4,1,2,2.3,포미초대손님,매장C,정상,1,1,1
정상회원,여,46,미신청,미수신,normal,기타,0,40대,293,1,27185,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,165,3,29003,2,1,2,1.7,포미방문자,매장C,잠재이탈,7,1,0
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,56,5,141858,3,1,2,2,포미초대손님,매장A,정상,4,1,1
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,0,41,1475279,5,4,4,4.3,포미킹,매장C,정상,1,1,1
정상회원,여,41,미신청,미수신,normal,용인 수지구,0,40대,2,44,874983,5,3,4,4,포미패밀리,매장C,정상,1,1,1
정상회원,여,48,미신청,수신,normal,용인 수지구,0,40대,2,62,1405111,5,4,4,4.3,포미킹,매장C,정상,1,1,1
정상회원,여,46,미신청,미수신,normal,성남 분당구,0,40대,173,1,2680,2,1,1,1.3,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,67,신청,미수신,normal,용인 수지구,0,60대,7,10,495090,5,2,2,2.9,포미프렌즈,매장B,정상,1,1,1
정상회원,여,64,미신청,미수신,normal,용인 수지구,0,60대,133,10,242363,2,1,2,1.7,포미방문자,매장D,정상,4,1,1
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,20,7,48148,4,1,2,2.3,포미초대손님,매장C,정상,1,1,1
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,8,16,374565,5,2,2,2.9,포미프렌즈,매장C,정상,1,1,1
정상회원,남,49,미신청,미수신,normal,용인 수지구,0,40대,1,44,1364366,5,4,4,4.3,포미킹,매장C,정상,1,1,1
정상회원,여,73,미신청,미수신,normal,용인 수지구,0,70대,1,9,92657,5,1,2,2.6,포미프렌즈,매장A,정상,2,1,1
정상회원,여,32,미신청,미수신,normal,서울 강남구,0,30대,19,8,207523,4,1,2,2.3,포미초대손님,매장A,정상,1,1,1
정상회원,여,34,미신청,미수신,normal,용인 수지구,0,30대,67,1,8806,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,52,미신청,미수신,normal,용인 기흥구,0,50대,43,2,6796,4,1,2,2.3,포미초대손님,매장C,정상,7,1,1
정상회원,여,55,미신청,미수신,normal,용인 수지구,1,50대,8,44,2065113,5,5,4,4.6,포미킹,매장C,정상,1,1,1
정상회원,남,41,미신청,미수신,normal,기타,0,40대,7,2,23356,5,1,2,2.6,포미프렌즈,매장D,정상,63,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,29,8,200630,4,1,2,2.3,포미초대손님,매장C,정상,10,1,1
정상회원,여,48,미신청,미수신,normal,기타,0,40대,49,1,25270,4,1,1,1.9,포미방문자,매장B,정상,0,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,244,1,48695,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,123,2,29675,2,1,2,1.7,포미방문자,매장B,정상,139,0,0
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,41,4,137073,4,1,2,2.3,포미초대손님,매장B,정상,51,0,0
정상회원,여,71,신청,미수신,normal,용인 기흥구,0,70대,19,11,145975,4,1,2,2.3,포미초대손님,매장A,정상,3,1,1
정상회원,여,61,미신청,미수신,normal,기타,0,60대,7,15,204839,5,1,2,2.6,포미초대손님,매장C,정상,1,1,1
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,30,3,22589,4,1,2,2.3,포미초대손님,매장C,정상,18,0,0
정상회원,남,52,미신청,미수신,normal,용인 수지구,0,50대,212,1,27759,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,13,13,171970,5,1,2,2.6,포미초대손님,매장B,정상,2,1,1
정상회원,여,37,미신청,미수신,normal,용인 수지구,0,30대,69,9,175648,3,1,2,2,포미초대손님,매장C,정상,6,1,1
정상회원,여,72,미신청,미수신,normal,용인 수지구,0,70대,19,21,195080,4,1,3,2.7,포미프렌즈,매장D,정상,1,1,1
정상회원,여,50,미신청,미수신,normal,화성,0,50대,2,14,306209,5,2,2,2.9,포미프렌즈,매장B,정상,3,1,1
정상회원,여,53,미신청,수신,normal,서울 강남구,0,50대,180,1,4116,2,1,1,1.3,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,53,미신청,미수신,normal,용인 수지구,0,50대,168,3,74854,2,1,2,1.7,포미방문자,매장A,잠재이탈,5,1,0
정상회원,남,80,미신청,미수신,normal,용인 수지구,0,80대,237,1,12922,1,1,1,1,포미방문자,매장B,잠재이탈,0,0,0
정상회원,여,50,미신청,수신,normal,용인 수지구,0,50대,0,61,2588529,5,5,4,4.6,포미킹,매장B,정상,1,1,1
정상회원,여,52,미신청,미수신,normal,용인 수지구,0,50대,79,5,49296,3,1,2,2,포미초대손님,매장C,정상,35,0,0
정상회원,여,40,신청,미수신,normal,용인 수지구,0,40대,6,30,1115522,5,4,3,3.9,포미패밀리,매장D,정상,1,1,1
정상회원,남,81,신청,미수신,normal,용인 수지구,0,80대,19,22,465871,4,2,3,3,포미프렌즈,매장D,정상,2,1,1
정상회원,여,64,미신청,미수신,normal,기타,0,60대,160,2,47094,2,1,2,1.7,포미방문자,매장B,잠재이탈,86,0,0
정상회원,여,71,미신청,미수신,normal,기타,0,70대,235,1,14741,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,59,미신청,미수신,normal,성남 분당구,0,50대,23,3,452376,4,2,2,2.6,포미프렌즈,매장A,정상,7,1,1
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,8,15,167131,5,1,2,2.6,포미초대손님,매장B,정상,8,1,1
정상회원,여,41,미신청,미수신,normal,용인 수지구,0,40대,6,5,40776,5,1,2,2.6,포미프렌즈,매장A,정상,4,1,1
정상회원,여,54,미신청,수신,VIP,용인 수지구,0,50대,8,78,1964515,5,4,5,4.7,포미킹,매장C,정상,1,1,1
정상회원,여,55,미신청,미수신,normal,용인 수지구,0,50대,13,5,81171,5,1,2,2.6,포미프렌즈,매장C,정상,5,1,1
정상회원,여,51,미신청,미수신,normal,용인 기흥구,0,50대,207,1,14167,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,34,11,145781,4,1,2,2.3,포미초대손님,매장D,정상,2,1,1
정상회원,남,50,미신청,미수신,normal,용인 수지구,0,50대,18,22,280175,4,1,3,2.7,포미프렌즈,매장A,정상,1,1,1
정상회원,여,46,신청,미수신,normal,용인 수지구,0,40대,39,15,424537,4,2,2,2.6,포미프렌즈,매장B,정상,3,1,1
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,1,12,126160,5,1,2,2.6,포미프렌즈,매장C,정상,2,1,1
정상회원,여,53,미신청,미수신,normal,용인 수지구,0,50대,78,2,16655,3,1,2,2,포미초대손님,매장C,정상,125,0,0
정상회원,남,37,미신청,수신,VIP,용인 수지구,1,30대,0,121,2615874,5,5,5,5,포미킹,매장B,정상,1,1,1
정상회원,여,46,미신청,미수신,normal,용인 수지구,0,40대,43,25,324321,4,2,3,3,포미프렌즈,매장A,정상,3,1,1
정상회원,여,37,미신청,미수신,normal,용인 수지구,0,30대,249,1,13305,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,69,미신청,미수신,normal,용인 수지구,0,60대,245,1,38288,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,70,신청,미수신,normal,용인 수지구,0,70대,19,32,414664,4,2,3,3,포미프렌즈,매장D,정상,1,1,1
정상회원,여,56,미신청,미수신,normal,용인 수지구,0,50대,54,3,30630,3,1,2,2,포미초대손님,매장D,정상,35,0,0
정상회원,여,63,미신청,미수신,normal,기타,0,60대,9,43,962239,5,3,4,4,포미패밀리,매장C,정상,1,1,1
정상회원,여,39,미신청,미수신,normal,기타,0,30대,7,6,41351,5,1,2,2.6,포미프렌즈,매장C,정상,2,1,1
탈퇴,남,52,미신청,미수신,normal,광주,0,50대,149,5,323728,2,2,2,2,포미방문자,매장B,이탈,4,1,1
정상회원,여,50,미신청,수신,normal,용인 수지구,1,50대,9,56,1093660,5,4,4,4.3,포미킹,매장A,정상,1,1,1
정상회원,여,54,미신청,수신,normal,용인 수지구,0,50대,4,52,2121132,5,5,4,4.6,포미킹,매장B,정상,1,1,1
정상회원,여,45,미신청,수신,normal,용인 수지구,0,40대,3,37,384837,5,2,3,3.3,포미패밀리,매장C,정상,1,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,1,40대,53,11,184453,3,1,2,2,포미초대손님,매장B,정상,5,1,1
탈퇴,여,40,미신청,미수신,normal,용인 수지구,0,40대,17,32,526851,4,2,3,3,포미프렌즈,매장C,이탈,1,1,1
정상회원,여,36,미신청,미수신,normal,용인 수지구,0,30대,12,2,25270,5,1,2,2.6,포미프렌즈,매장B,정상,73,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,95,1,31970,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,13,6,84808,5,1,2,2.6,포미프렌즈,매장B,정상,2,1,1
정상회원,여,57,미신청,미수신,normal,용인 수지구,0,50대,177,3,133968,2,1,2,1.7,포미방문자,매장A,잠재이탈,21,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,156,3,143102,2,1,2,1.7,포미방문자,매장B,잠재이탈,34,0,0
정상회원,여,63,미신청,미수신,normal,용인 수지구,0,60대,14,7,107014,5,1,2,2.6,포미프렌즈,매장C,정상,7,1,1
정상회원,여,41,미신청,미수신,normal,용인 기흥구,0,40대,57,8,68987,3,1,2,2,포미초대손님,매장C,정상,2,1,1
정상회원,여,50,미신청,미수신,normal,용인 수지구,0,50대,155,5,199693,2,1,2,1.7,포미방문자,매장C,잠재이탈,3,1,0
정상회원,여,38,신청,미수신,normal,용인 수지구,0,30대,10,19,519290,5,2,3,3.3,포미프렌즈,매장D,정상,6,1,1
정상회원,여,38,미신청,미수신,normal,용인 수지구,0,30대,22,3,69684,4,1,2,2.3,포미초대손님,매장A,정상,12,1,1
정상회원,여,48,미신청,미수신,normal,기타,0,40대,18,1,15124,4,1,1,1.9,포미방문자,매장C,정상,0,0,0
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,133,6,145686,2,1,2,1.7,포미방문자,매장B,정상,8,1,1
정상회원,남,52,미신청,미수신,normal,기타,0,50대,117,1,4020,2,1,1,1.3,포미방문자,매장B,정상,0,0,0
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,14,7,64516,5,1,2,2.6,포미프렌즈,매장C,정상,8,1,1
정상회원,여,39,미신청,미수신,normal,수원 영통구,0,30대,95,1,3829,3,1,1,1.6,포미방문자,매장A,정상,0,0,0
정상회원,여,68,미신청,미수신,normal,용인 수지구,0,60대,39,12,130657,4,1,2,2.3,포미초대손님,매장B,정상,5,1,1
정상회원,여,33,미신청,미수신,normal,용인 수지구,0,30대,10,16,148751,5,1,2,2.6,포미초대손님,매장C,정상,7,1,1
정상회원,여,51,미신청,수신,normal,용인 수지구,0,50대,2,66,1960040,5,4,5,4.7,포미킹,매장A,정상,1,1,1
정상회원,여,43,미신청,수신,normal,용인 수지구,1,40대,0,60,891368,5,3,4,4,포미패밀리,매장C,정상,1,1,1
정상회원,여,34,미신청,미수신,normal,기타,0,30대,130,3,42500,2,1,2,1.7,포미방문자,매장A,정상,32,0,0
정상회원,여,41,신청,미수신,normal,용인 수지구,0,40대,6,22,731773,5,3,3,3.6,포미패밀리,매장C,정상,1,1,1
정상회원,여,45,미신청,미수신,normal,용인 수지구,0,40대,1,1,5552,5,1,1,2.2,포미초대손님,매장C,정상,0,0,0
