조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,주소대분류,프로모션여부,연령대,R,F,M,R_score,M_score,F_score,RFM_score,RFM_rank,주매장,이탈여부,최소재구매주기,재구매여부,5개월이내재구매
정상회원,여,58,미신청,수신,normal,용인 수지구,0,50대,6,41,906956,5,3,4,4,포미패밀리,매장C,정상,1,1,1
정상회원,여,27,미신청,미수신,normal,용인 기흥구,0,20대,56,1,66622,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,62,미신청,미수신,normal,용인 수지구,0,60대,17,7,97350,4,1,2,2.3,포미초대손님,매장B,정상,10,1,1
정상회원,여,43,미신청,미수신,normal,용인 수지구,0,40대,61,1,10625,3,1,1,1.6,포미방문자,매장C,정상,0,0,0
정상회원,여,50,미신청,미수신,normal,서울 강남구,0,50대,30,2,218051,4,1,2,2.3,포미초대손님,매장D,정상,128,0,0
정상회원,여,66,미신청,미수신,normal,기타,0,60대,233,1,4595,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,77,신청,미수신,normal,용인 수지구,0,70대,12,25,622303,5,3,3,3.6,포미패밀리,매장C,정상,1,1,1
정상회원,여,43,신청,미수신,normal,용인 수지구,0,40대,25,10,523399,4,2,2,2.6,포미프렌즈,매장B,정상,5,1,1
정상회원,여,39,미신청,수신,normal,용인 기흥구,0,30대,94,1,20293,3,1,1,1.6,포미방문자,매장B,정상,0,0,0
정상회원,여,55,미신청,미수신,normal,용인 수지구,0,50대,23,41,1394165,4,4,4,4,포미패밀리,매장C,정상,1,1,1
탈퇴,여,38,미신청,미수신,normal,용인 수지구,0,30대,261,6,67577,1,1,2,1.4,포미방문자,매장C,이탈,5,1,0
정상회원,여,47,신청,미수신,normal,용인 수지구,0,40대,12,28,585617,5,2,3,3.3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,20,9,118312,4,1,2,2.3,포미초대손님,매장C,정상,10,1,1
정상회원,여,65,미신청,미수신,normal,기타,0,60대,46,1,1914,4,1,1,1.9,포미방문자,매장C,정상,0,0,0
정상회원,여,32,미신청,수신,normal,용인 수지구,0,30대,92,13,216230,3,1,2,2,포미초대손님,매장B,정상,1,1,1
정상회원,여,64,미신청,미수신,normal,용인 기흥구,0,60대,47,1,19718,4,1,1,1.9,포미방문자,매장C,정상,0,0,0
정상회원,여,44,미신청,미수신,normal,용인 수지구,1,40대,29,4,68344,4,1,2,2.3,포미초대손님,매장A,정상,34,0,0
정상회원,남,64,미신청,미수신,normal,용인 수지구,0,60대,20,20,428293,4,2,3,3,포미프렌즈,매장D,정상,1,1,1
정상회원,여,47,신청,미수신,normal,용인 수지구,0,40대,0,19,687177,5,3,3,3.6,포미패밀리,매장C,정상,1,1,1
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,41,7,100408,4,1,2,2.3,포미초대손님,매장B,정상,9,1,1
정상회원,여,57,미신청,미수신,normal,용인 수지구,0,50대,265,2,90744,1,1,2,1.4,포미방문자,매장C,잠재이탈,2,1,0
정상회원,여,42,미신청,미수신,normal,용인 기흥구,0,40대,120,1,54944,2,1,1,1.3,포미방문자,매장D,정상,0,0,0
정상회원,남,71,미신청,미수신,normal,기타,0,70대,34,1,14550,4,1,1,1.9,포미방문자,매장A,정상,0,0,0
정상회원,여,42,미신청,미수신,normal,용인 수지구,0,40대,69,14,210009,3,1,2,2,포미초대손님,매장C,정상,1,1,1
정상회원,여,38,미신청,미수신,normal,기타,0,30대,42,5,96487,4,1,2,2.3,포미초대손님,매장D,정상,1,1,1
정상회원,여,62,미신청,미수신,normal,용인 수지구,0,60대,6,23,337780,5,2,3,3.3,포미패밀리,매장D,정상,1,1,1
탈퇴,여,39,미신청,미수신,normal,하남,0,30대,122,1,4020,2,1,1,1.3,포미방문자,매장D,이탈,0,0,0
정상회원,여,53,미신청,미수신,normal,용인 수지구,0,50대,171,2,95338,2,1,2,1.7,포미방문자,매장A,잠재이탈,104,0,0
정상회원,여,57,미신청,미수신,normal,용인 수지구,0,50대,1,4,23739,5,1,2,2.6,포미프렌즈,매장A,정상,7,1,1
정상회원,여,66,미신청,미수신,normal,용인 수지구,0,60대,13,34,383837,5,2,3,3.3,포미패밀리,매장C,정상,1,1,1
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,211,1,25270,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,40,미신청,미수신,normal,광주,0,40대,41,1,15124,4,1,1,1.9,포미방문자,매장B,정상,0,0,0
정상회원,여,56,미신청,수신,normal,용인 수지구,0,50대,2,73,1427298,5,4,5,4.7,포미킹,매장C,정상,1,1,1
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,13,5,74088,5,1,2,2.6,포미프렌즈,매장D,정상,16,0,0
정상회원,여,45,신청,미수신,normal,용인 수지구,0,40대,17,14,362484,4,2,2,2.6,포미프렌즈,매장C,정상,6,1,1
정상회원,여,50,미신청,미수신,normal,용인 수지구,0,50대,46,3,105197,4,1,2,2.3,포미초대손님,매장C,정상,36,0,0
정상회원,여,48,미신청,미수신,normal,용인 수지구,0,40대,287,1,22782,1,1,1,1,포미방문자,매장A,잠재이탈,0,0,0
정상회원,여,51,미신청,수신,VIP,용인 수지구,1,50대,0,163,9994195,5,5,5,5,포미킹,매장C,정상,1,1,1
정상회원,여,56,미신청,수신,normal,성남 분당구,0,50대,1,66,1394264,5,4,5,4.7,포미킹,매장B,정상,1,1,1
정상회원,여,40,미신청,미수신,normal,용인 수지구,0,40대,25,9,121184,4,1,2,2.3,포미초대손님,매장C,정상,6,1,1
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,20,12,266837,4,1,2,2.3,포미초대손님,매장C,정상,2,1,1
정상회원,여,69,미신청,미수신,VIP,용인 수지구,0,60대,2,92,1973350,5,5,5,5,포미킹,매장A,정상,1,1,1
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,9,10,122044,5,1,2,2.6,포미프렌즈,매장C,정상,10,1,1
정상회원,여,45,신청,미수신,normal,용인 수지구,0,40대,10,16,635142,5,3,2,3.2,포미프렌즈,매장C,정상,1,1,1
정상회원,여,56,미신청,미수신,normal,용인 수지구,0,50대,8,25,268590,5,1,3,3,포미프렌즈,매장C,정상,1,1,1
정상회원,여,61,미신청,미수신,normal,광주,0,60대,155,4,17803,2,1,2,1.7,포미방문자,매장B,잠재이탈,6,1,0
정상회원,여,34,미신청,미수신,normal,용인 수지구,0,30대,260,1,3733,1,1,1,1,포미방문자,매장C,잠재이탈,0,0,0
정상회원,여,40,신청,미수신,normal,용인 수지구,0,40대,12,31,621416,5,3,3,3.6,포미패밀리,매장C,정상,1,1,1
정상회원,여,51,미신청,미수신,normal,용인 수지구,0,50대,65,1,11295,3,1,1,1.6,포미방문자,매장A,정상,0,0,0
정상회원,여,59,미신청,미수신,normal,서울 송파구,0,50대,2,10,216518,5,1,2,2.6,포미초대손님,매장D,정상,5,1,1
정상회원,여,43,미신청,수신,normal,용인 수지구,0,40대,149,1,23164,2,1,1,1.3,포미방문자,매장C,정상,0,0,0
정상회원,여,41,미신청,미수신,normal,용인 수지구,0,40대,42,4,60113,4,1,2,2.3,포미초대손님,매장A,정상,34,0,0
정상회원,여,62,미신청,미수신,normal,용인 수지구,0,60대,16,18,254520,4,1,3,2.7,포미프렌즈,매장D,정상,1,1,1
정상회원,여,59,미신청,미수신,normal,용인 수지구,0,50대,0,37,889243,5,3,3,3.6,포미패밀리,매장B,정상,2,1,1
정상회원,여,54,미신청,수신,VIP,용인 수지구,0,50대,1,98,2083934,5,5,5,5,포미킹,매장D,정상,1,1,1
정상회원,여,36,미신청,미수신,normal,용인 수지구,0,30대,134,1,12731,2,1,1,1.3,포미방문자,매장B,정상,0,0,0
정상회원,여,49,미신청,미수신,normal,용인 수지구,0,40대,17,11,156027,4,1,2,2.3,포미초대손님,매장B,정상,6,1,1
정상회원,여,40,미신청,미수신,normal,용인 처인구,0,40대,190,2,7945,2,1,2,1.7,포미방문자,매장B,잠재이탈,76,0,0
정상회원,남,73,미신청,미수신,normal,용인 수지구,0,70대,138,4,348424,2,2,2,2,포미방문자,매장D,정상,9,1,1
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,141,9,79256,2,1,2,1.7,포미방문자,매장C,정상,5,1,1
정상회원,여,55,미신청,미수신,normal,용인 수지구,0,50대,7,1,7083,5,1,1,2.2,포미초대손님,매장C,정상,0,0,0
정상회원,여,37,미신청,미수신,normal,용인 수지구,0,30대,48,14,105963,4,1,2,2.3,포미초대손님,매장B,정상,3,1,1
정상회원,여,70,미신청,미수신,normal,용인 수지구,0,70대,0,4,175457,5,1,2,2.6,포미초대손님,매장C,정상,8,1,1
정상회원,여,60,미신청,미수신,normal,용인 수지구,1,60대,11,30,263766,5,1,3,3,포미프렌즈,매장C,정상,2,1,1
정상회원,여,50,미신청,미수신,normal,용인 수지구,0,50대,196,3,35512,2,1,2,1.7,포미방문자,매장C,잠재이탈,2,1,0
정상회원,여,38,미신청,미수신,normal,용인 수지구,0,30대,198,8,196322,2,1,2,1.7,포미방문자,매장D,잠재이탈,2,1,0
정상회원,여,60,미신청,미수신,normal,용인 수지구,0,60대,82,9,162151,3,1,2,2,포미초대손님,매장D,정상,9,1,1
정상회원,여,35,미신청,수신,normal,용인 수지구,0,30대,0,5,88084,5,1,2,2.6,포미프렌즈,매장C,정상,23,0,0
정상회원,여,77,미신청,미수신,normal,용인 수지구,0,70대,276,2,20867,1,1,2,1.4,포미방문자,매장C,잠재이탈,21,0,0
정상회원,여,39,미신청,미수신,normal,용인 수지구,0,30대,16,5,78778,4,1,2,2.3,포미초대손님,매장C,정상,11,1,1
정상회원,여,56,미신청,미수신,normal,용인 수지구,0,50대,39,4,80022,4,1,2,2.3,포미초대손님,매장A,정상,13,1,1
정상회원,여,37,미신청,미수신,normal,용인 수지구,0,30대,18,25,229828,4,1,3,2.7,포미프렌즈,매장C,정상,2,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,111,3,25270,2,1,2,1.7,포미방문자,매장A,정상,26,0,0
정상회원,여,53,미신청,미수신,normal,용인 수지구,0,50대,198,4,39245,2,1,2,1.7,포미방문자,매장C,잠재이탈,22,0,0
정상회원,여,63,신청,미수신,normal,용인 수지구,0,60대,7,17,668131,5,3,3,3.6,포미패밀리,매장D,정상,3,1,1
정상회원,여,44,미신청,미수신,normal,용인 수지구,0,40대,155,2,43840,2,1,2,1.7,포미방문자,매장D,잠재이탈,86,0,0
정상회원,여,61,미신청,미수신,normal,용인 수지구,0,60대,69,4,187038,3,1,2,2,포미초대손님,매장D,정상,7,1,1
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,30,6,65760,4,1,2,2.3,포미초대손님,매장B,정상,12,1,1
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,17,6,139178,4,1,2,2.3,포미초대손님,매장B,정상,22,0,0
정상회원,여,61,미신청,미수신,normal,용인 기흥구,0,60대,1,11,207366,5,1,2,2.6,포미초대손님,매장C,정상,7,1,1
정상회원,여,47,미신청,미수신,normal,용인 수지구,0,40대,18,5,51880,4,1,2,2.3,포미초대손님,매장A,정상,21,0,0
정상회원,여,35,미신청,미수신,normal,용인 수지구,0,30대,6,11,173445,5,1,2,2.6,포미초대손님,매장C,정상,2,1,1
정상회원,여,34,미신청,미수신,normal,용인 처인구,0,30대,18,1,36948,4,1,1,1.9,포미방문자,매장C,정상,0,0,0
정상회원,여,38,신청,미수신,normal,용인 수지구,0,30대,8,27,612727,5,2,3,3.3,포미프렌즈,매장B,정상,1,1,1
정상회원,여,34,미신청,미수신,normal,용인 수지구,0,30대,4,14,180724,5,1,2,2.6,포미초대손님,매장B,정상,1,1,1
